keys,values
New Game,Yeni Oyun
Continue,Devam Et
Options,Parametrlər
Quit,Çıx
Resume,Devam Et
Main Menu,Əsas Məni
Settings,Parametrlər
Music Volume,Müziqi Səviyyəsi
SFX Volume,Effect Səviyyəsi
Language,Dil
English,İngilis
Russian,Rus
Azerbaijani,Azərbaycanca
Floor %d,%d Mərtəbə
Level Up!,Seviye Artır!
You Died,Sən Ölüb
Game Saved,Oyun Saxlanıldı
Settings Saved,Parametrlər Saxlanıldı
Health,Səhiyyət
Attack,Hücum
Defense,Müdafiə
Speed,Sürət
Experience,Təcrübə
Artifact,Artefakt
Treasure Room,Hazinə Otağı
Boss Room,Bos Otağı
Normal Room,adi Otaq
Start Room,Başlangıç Otağı
