keys,values
New Game,Новая игра
Continue,Продолжить
Options,Настройки
Quit,Выход
Resume,Продолжить
Main Menu,Главное меню
Settings,Настройки
Music Volume,Громкость музыки
SFX Volume,Громкость эффектов
Language,Язык
English,Английский
Russian,Русский
Azerbaijani,Азербайджанский
Floor %d,Этаж %d
Level Up!,Повышение уровня!
You Died,Вы умерли
Game Saved,Игра сохранена
Settings Saved,Настройки сохранены
Health,Здоровье
Attack,Атака
Defense,Защита
Speed,Скорость
Experience,Опыт
Artifact,Артефакт
Treasure Room,Комната с сокровищами
Boss Room,Комната босса
Normal Room,Обычная комната
Start Room,Стартовая комната
