keys,values
New Game,New Game
Continue,Continue
Options,Options
Quit,Quit
Resume,Resume
Main Menu,Main Menu
Settings,Settings
Music Volume,Music Volume
SFX Volume,SFX Volume
Language,Language
English,English
Russian,Russian
Azerbaijani,Azerbaijani
Floor %d,Floor %d
Level Up!,Level Up!
You Died,You Died
Game Saved,Game Saved
Settings Saved,Settings Saved
Health,Health
Attack,Attack
Defense,Defense
Speed,Speed
Experience,Experience
Artifact,Artifact
Treasure Room,Treasure Room
Boss Room,Boss Room
Normal Room,Normal Room
Start Room,Start Room
